#chrom	strand	txStart	txEnd	exonCount	exonStarts	exonEnds	transcriptID	geneID	geneSymbol	biotype
1	+	49282507	49288376	1	49282507	49288376	L1PA2.1.chr1_49282507-49288376.+	L1PA2.1.chr1_49282507-49288376.+	None	None
1	+	49330767	49332052	1	49330767	49332052	L1PA12.1.chr1_49330767-49332052.+	L1PA12.1.chr1_49330767-49332052.+	None	None
1	-	49561313	49567447	1	49561313	49567447	L1PA4.1.chr1_49561313-49567447.-	L1PA4.1.chr1_49561313-49567447.-	None	None
1	+	49737846	49744064	1	49737846	49744064	L1PA4.1.chr1_49737846-49744064.+	L1PA4.1.chr1_49737846-49744064.+	None	None
1	+	49763407	49764184	1	49763407	49764184	L1PA15-16.1.chr1_49763407-49764184.+	L1PA15-16.1.chr1_49763407-49764184.+	None	None
1	+	49864391	49866481	1	49864391	49866481	L1PA10.1.chr1_49864391-49866481.+	L1PA10.1.chr1_49864391-49866481.+	None	None
1	-	49875162	49881175	1	49875162	49881175	L1PA2.1.chr1_49875162-49881175.-	L1PA2.1.chr1_49875162-49881175.-	None	None
1	+	49915108	49921256	1	49915108	49921256	L1PA5.1.chr1_49915108-49921256.+	L1PA5.1.chr1_49915108-49921256.+	None	None
1	+	49934841	49940864	1	49934841	49940864	L1PA3.1.chr1_49934841-49940864.+	L1PA3.1.chr1_49934841-49940864.+	None	None
1	-	50886382	50892493	1	50886382	50892493	L1PA5.1.chr1_50886382-50892493.-	L1PA5.1.chr1_50886382-50892493.-	None	None
1	-	50904886	50911009	1	50904886	50911009	L1PA5.1.chr1_50904886-50911009.-	L1PA5.1.chr1_50904886-50911009.-	None	None
1	-	52171000	52177141	1	52171000	52177141	L1PA3.1.chr1_52171000-52177141.-	L1PA3.1.chr1_52171000-52177141.-	None	None
1	+	53004662	53010782	1	53004662	53010782	L1PA5.1.chr1_53004662-53010782.+	L1PA5.1.chr1_53004662-53010782.+	None	None
1	-	54444363	54449412	1	54444363	54449412	L1PA5.1.chr1_54444363-54449412.-	L1PA5.1.chr1_54444363-54449412.-	None	None
1	+	55430256	55436824	1	55430256	55436824	L1PA7.1.chr1_55430256-55436824.+	L1PA7.1.chr1_55430256-55436824.+	None	None
1	-	55561830	55567969	1	55561830	55567969	L1PA4.1.chr1_55561830-55567969.-	L1PA4.1.chr1_55561830-55567969.-	None	None
1	+	55760089	55763051	1	55760089	55763051	L1PA7.1.chr1_55760089-55763051.+	L1PA7.1.chr1_55760089-55763051.+	None	None
1	+	56089638	56092245	1	56089638	56092245	L1PA3.1.chr1_56089638-56092245.+	L1PA3.1.chr1_56089638-56092245.+	None	None
1	+	57563313	57568976	1	57563313	57568976	L1PA5.1.chr1_57563313-57568976.+	L1PA5.1.chr1_57563313-57568976.+	None	None
1	+	57682373	57684946	1	57682373	57684946	L1PA16.1.chr1_57682373-57684946.+	L1PA16.1.chr1_57682373-57684946.+	None	None
1	-	58126455	58132485	1	58126455	58132485	L1PA2.1.chr1_58126455-58132485.-	L1PA2.1.chr1_58126455-58132485.-	None	None
1	-	58269013	58275032	1	58269013	58275032	L1PA2.1.chr1_58269013-58275032.-	L1PA2.1.chr1_58269013-58275032.-	None	None
1	-	58373171	58379206	1	58373171	58379206	L1PA2.1.chr1_58373171-58379206.-	L1PA2.1.chr1_58373171-58379206.-	None	None
1	+	58488962	58490795	1	58488962	58490795	L1PA4.1.chr1_58488962-58490795.+	L1PA4.1.chr1_58488962-58490795.+	None	None
1	+	58958128	58964283	1	58958128	58964283	L1PA5.1.chr1_58958128-58964283.+	L1PA5.1.chr1_58958128-58964283.+	None	None
1	+	59206180	59208056	1	59206180	59208056	L1PA7.1.chr1_59206180-59208056.+	L1PA7.1.chr1_59206180-59208056.+	None	None
1	+	59250823	59256962	1	59250823	59256962	L1PA4.1.chr1_59250823-59256962.+	L1PA4.1.chr1_59250823-59256962.+	None	None
1	+	59368923	59375078	1	59368923	59375078	L1PA3.1.chr1_59368923-59375078.+	L1PA3.1.chr1_59368923-59375078.+	None	None
1	+	59460097	59461770	1	59460097	59461770	L1PA6.1.chr1_59460097-59461770.+	L1PA6.1.chr1_59460097-59461770.+	None	None
1	+	59532995	59539008	1	59532995	59539008	L1PA3.1.chr1_59532995-59539008.+	L1PA3.1.chr1_59532995-59539008.+	None	None
1	+	59586803	59592948	1	59586803	59592948	L1PA3.1.chr1_59586803-59592948.+	L1PA3.1.chr1_59586803-59592948.+	None	None
1	+	59610536	59616642	1	59610536	59616642	L1PA4.1.chr1_59610536-59616642.+	L1PA4.1.chr1_59610536-59616642.+	None	None
1	-	59647747	59653779	1	59647747	59653779	L1PA2.1.chr1_59647747-59653779.-	L1PA2.1.chr1_59647747-59653779.-	None	None
1	+	60490132	60496149	1	60490132	60496149	L1PA3.1.chr1_60490132-60496149.+	L1PA3.1.chr1_60490132-60496149.+	None	None
1	+	60640012	60646037	1	60640012	60646037	L1PA2.1.chr1_60640012-60646037.+	L1PA2.1.chr1_60640012-60646037.+	None	None
1	+	60770675	60772534	1	60770675	60772534	L1PA5.1.chr1_60770675-60772534.+	L1PA5.1.chr1_60770675-60772534.+	None	None
1	-	60772540	60778675	1	60772540	60778675	L1PA5.1.chr1_60772540-60778675.-	L1PA5.1.chr1_60772540-60778675.-	None	None
1	+	61943140	61949224	1	61943140	61949224	L1PA5.1.chr1_61943140-61949224.+	L1PA5.1.chr1_61943140-61949224.+	None	None
1	+	64251471	64257794	1	64251471	64257794	L1PA11.1.chr1_64251471-64257794.+	L1PA11.1.chr1_64251471-64257794.+	None	None
1	+	64273426	64279586	1	64273426	64279586	L1PA3.1.chr1_64273426-64279586.+	L1PA3.1.chr1_64273426-64279586.+	None	None
1	-	65450279	65456309	1	65450279	65456309	L1PA3.1.chr1_65450279-65456309.-	L1PA3.1.chr1_65450279-65456309.-	None	None
1	-	65462002	65468172	1	65462002	65468172	L1PA6.1.chr1_65462002-65468172.-	L1PA6.1.chr1_65462002-65468172.-	None	None
1	-	65544806	65550970	1	65544806	65550970	L1PA3.1.chr1_65544806-65550970.-	L1PA3.1.chr1_65544806-65550970.-	None	None
1	-	65550971	65555175	1	65550971	65555175	L1PA7.1.chr1_65550971-65555175.-	L1PA7.1.chr1_65550971-65555175.-	None	None
1	-	65558564	65564576	1	65558564	65564576	L1PA2.1.chr1_65558564-65564576.-	L1PA2.1.chr1_65558564-65564576.-	None	None
1	+	65651673	65658083	1	65651673	65658083	L1PA7.1.chr1_65651673-65658083.+	L1PA7.1.chr1_65651673-65658083.+	None	None
1	-	65740188	65744672	1	65740188	65744672	L1PA7.1.chr1_65740188-65744672.-	L1PA7.1.chr1_65740188-65744672.-	None	None
1	-	65860034	65865838	1	65860034	65865838	L1PA8.1.chr1_65860034-65865838.-	L1PA8.1.chr1_65860034-65865838.-	None	None
1	-	66184843	66190986	1	66184843	66190986	L1PA4.1.chr1_66184843-66190986.-	L1PA4.1.chr1_66184843-66190986.-	None	None
1	-	66199807	66204996	1	66199807	66204996	L1PA4.1.chr1_66199807-66204996.-	L1PA4.1.chr1_66199807-66204996.-	None	None
1	+	66480923	66486952	1	66480923	66486952	L1PA3.1.chr1_66480923-66486952.+	L1PA3.1.chr1_66480923-66486952.+	None	None
1	+	66509475	66510287	1	66509475	66510287	L1PA13.1.chr1_66509475-66510287.+	L1PA13.1.chr1_66509475-66510287.+	None	None
1	+	66780142	66786326	1	66780142	66786326	L1PA4.1.chr1_66780142-66786326.+	L1PA4.1.chr1_66780142-66786326.+	None	None
1	-	67078891	67084915	1	67078891	67084915	L1HS.1.chr1_67078891-67084915.-	L1HS.1.chr1_67078891-67084915.-	None	None
1	-	67154067	67157246	1	67154067	67157246	L1PA8A.1.chr1_67154067-67157246.-	L1PA8A.1.chr1_67154067-67157246.-	None	None
1	-	67176638	67182776	1	67176638	67182776	L1PA4.1.chr1_67176638-67182776.-	L1PA4.1.chr1_67176638-67182776.-	None	None
1	-	68003126	68009223	1	68003126	68009223	L1PA6.1.chr1_68003126-68009223.-	L1PA6.1.chr1_68003126-68009223.-	None	None
1	+	68056639	68057928	1	68056639	68057928	L1PA13.1.chr1_68056639-68057928.+	L1PA13.1.chr1_68056639-68057928.+	None	None
1	-	68077448	68078309	1	68077448	68078309	L1PA15.1.chr1_68077448-68078309.-	L1PA15.1.chr1_68077448-68078309.-	None	None
1	-	68078313	68079151	1	68078313	68079151	L1PA14.1.chr1_68078313-68079151.-	L1PA14.1.chr1_68078313-68079151.-	None	None
1	-	68087595	68093705	1	68087595	68093705	L1PA6.1.chr1_68087595-68093705.-	L1PA6.1.chr1_68087595-68093705.-	None	None
1	+	68547221	68553335	1	68547221	68553335	L1PA11.1.chr1_68547221-68553335.+	L1PA11.1.chr1_68547221-68553335.+	None	None
1	-	68681498	68687636	1	68681498	68687636	L1PA4.1.chr1_68681498-68687636.-	L1PA4.1.chr1_68681498-68687636.-	None	None
1	-	68736693	68740136	1	68736693	68740136	L1HS.1.chr1_68736693-68740136.-	L1HS.1.chr1_68736693-68740136.-	None	None
1	-	68857597	68859514	1	68857597	68859514	L1PA10.1.chr1_68857597-68859514.-	L1PA10.1.chr1_68857597-68859514.-	None	None
1	-	68875777	68881805	1	68875777	68881805	L1PA2.1.chr1_68875777-68881805.-	L1PA2.1.chr1_68875777-68881805.-	None	None
1	+	68923486	68926929	1	68923486	68926929	L1PA2.1.chr1_68923486-68926929.+	L1PA2.1.chr1_68923486-68926929.+	None	None
1	+	68985093	68987328	1	68985093	68987328	L1PA8.1.chr1_68985093-68987328.+	L1PA8.1.chr1_68985093-68987328.+	None	None
1	-	69067497	69072421	1	69067497	69072421	L1PA10.1.chr1_69067497-69072421.-	L1PA10.1.chr1_69067497-69072421.-	None	None
1	-	69096528	69102668	1	69096528	69102668	L1PA5.1.chr1_69096528-69102668.-	L1PA5.1.chr1_69096528-69102668.-	None	None
1	-	69117059	69120511	1	69117059	69120511	L1PA2.1.chr1_69117059-69120511.-	L1PA2.1.chr1_69117059-69120511.-	None	None
1	-	69389449	69395594	1	69389449	69395594	L1PA5.1.chr1_69389449-69395594.-	L1PA5.1.chr1_69389449-69395594.-	None	None
1	-	69882613	69888643	1	69882613	69888643	L1PA2.1.chr1_69882613-69888643.-	L1PA2.1.chr1_69882613-69888643.-	None	None
1	-	69905264	69911348	1	69905264	69911348	L1PA4.1.chr1_69905264-69911348.-	L1PA4.1.chr1_69905264-69911348.-	None	None
1	-	69922813	69928952	1	69922813	69928952	L1PA3.1.chr1_69922813-69928952.-	L1PA3.1.chr1_69922813-69928952.-	None	None
1	+	70467442	70469704	1	70467442	70469704	L1PA12.1.chr1_70467442-70469704.+	L1PA12.1.chr1_70467442-70469704.+	None	None
1	-	70595120	70601278	1	70595120	70601278	L1PA3.1.chr1_70595120-70601278.-	L1PA3.1.chr1_70595120-70601278.-	None	None
1	-	70727357	70728636	1	70727357	70728636	L1PA11.1.chr1_70727357-70728636.-	L1PA11.1.chr1_70727357-70728636.-	None	None
1	-	70752473	70753896	1	70752473	70753896	L1PA13.1.chr1_70752473-70753896.-	L1PA13.1.chr1_70752473-70753896.-	None	None
1	-	70772146	70775263	1	70772146	70775263	L1PA14.1.chr1_70772146-70775263.-	L1PA14.1.chr1_70772146-70775263.-	None	None
1	+	71888203	71894235	1	71888203	71894235	L1PA2.1.chr1_71888203-71894235.+	L1PA2.1.chr1_71888203-71894235.+	None	None
1	-	72371248	72372011	1	72371248	72372011	L1PA14.1.chr1_72371248-72372011.-	L1PA14.1.chr1_72371248-72372011.-	None	None
1	+	72898768	72900480	1	72898768	72900480	L1PA2.1.chr1_72898768-72900480.+	L1PA2.1.chr1_72898768-72900480.+	None	None
1	+	73204805	73209301	1	73204805	73209301	L1PA16.1.chr1_73204805-73209301.+	L1PA16.1.chr1_73204805-73209301.+	None	None
1	-	73486301	73492292	1	73486301	73492292	L1PA6.1.chr1_73486301-73492292.-	L1PA6.1.chr1_73486301-73492292.-	None	None
1	+	74037659	74040887	1	74037659	74040887	L1PA10.1.chr1_74037659-74040887.+	L1PA10.1.chr1_74037659-74040887.+	None	None
1	-	74347007	74353101	1	74347007	74353101	L1PA4.1.chr1_74347007-74353101.-	L1PA4.1.chr1_74347007-74353101.-	None	None
1	+	74877120	74883155	1	74877120	74883155	L1PA3.1.chr1_74877120-74883155.+	L1PA3.1.chr1_74877120-74883155.+	None	None
1	+	74923550	74930103	1	74923550	74930103	L1PA11.1.chr1_74923550-74930103.+	L1PA11.1.chr1_74923550-74930103.+	None	None
1	+	74986518	74992624	1	74986518	74992624	L1PA4.1.chr1_74986518-74992624.+	L1PA4.1.chr1_74986518-74992624.+	None	None
1	+	75036365	75039879	1	75036365	75039879	L1PA10.1.chr1_75036365-75039879.+	L1PA10.1.chr1_75036365-75039879.+	None	None
1	+	75039878	75042554	1	75039878	75042554	L1PA8.1.chr1_75039878-75042554.+	L1PA8.1.chr1_75039878-75042554.+	None	None
1	-	75175681	75181832	1	75175681	75181832	L1PA6.1.chr1_75175681-75181832.-	L1PA6.1.chr1_75175681-75181832.-	None	None
1	+	75257748	75264144	1	75257748	75264144	L1PA7.1.chr1_75257748-75264144.+	L1PA7.1.chr1_75257748-75264144.+	None	None
1	+	75373126	75375824	1	75373126	75375824	L1PA17.1.chr1_75373126-75375824.+	L1PA17.1.chr1_75373126-75375824.+	None	None
1	+	75375826	75377085	1	75375826	75377085	L1PA2.1.chr1_75375826-75377085.+	L1PA2.1.chr1_75375826-75377085.+	None	None
1	+	75402386	75408862	1	75402386	75408862	L1PA7.1.chr1_75402386-75408862.+	L1PA7.1.chr1_75402386-75408862.+	None	None
1	+	75450010	75451659	1	75450010	75451659	L1PA16.1.chr1_75450010-75451659.+	L1PA16.1.chr1_75450010-75451659.+	None	None
1	+	75476261	75482430	1	75476261	75482430	L1PA3.1.chr1_75476261-75482430.+	L1PA3.1.chr1_75476261-75482430.+	None	None
1	+	75677750	75683758	1	75677750	75683758	L1PA3.1.chr1_75677750-75683758.+	L1PA3.1.chr1_75677750-75683758.+	None	None
1	+	75697639	75703674	1	75697639	75703674	L1PA4.1.chr1_75697639-75703674.+	L1PA4.1.chr1_75697639-75703674.+	None	None
1	+	75777591	75783742	1	75777591	75783742	L1PA4.1.chr1_75777591-75783742.+	L1PA4.1.chr1_75777591-75783742.+	None	None
1	+	75828831	75834934	1	75828831	75834934	L1PA5.1.chr1_75828831-75834934.+	L1PA5.1.chr1_75828831-75834934.+	None	None
1	-	75856289	75862418	1	75856289	75862418	L1PA7.1.chr1_75856289-75862418.-	L1PA7.1.chr1_75856289-75862418.-	None	None
1	-	76246588	76248264	1	76246588	76248264	L1PA8.1.chr1_76246588-76248264.-	L1PA8.1.chr1_76246588-76248264.-	None	None
1	-	76739649	76742106	1	76739649	76742106	L1PA7.1.chr1_76739649-76742106.-	L1PA7.1.chr1_76739649-76742106.-	None	None
1	+	76969050	76970750	1	76969050	76970750	L1PA6.1.chr1_76969050-76970750.+	L1PA6.1.chr1_76969050-76970750.+	None	None
1	+	76981021	76987179	1	76981021	76987179	L1PA6.1.chr1_76981021-76987179.+	L1PA6.1.chr1_76981021-76987179.+	None	None
1	-	77000000	77005515	1	77000000	77005515	L1HS.1.chr1_77000000-77005515.-	L1HS.1.chr1_77000000-77005515.-	None	None
1	+	78158702	78161485	1	78158702	78161485	L1PA6.1.chr1_78158702-78161485.+	L1PA6.1.chr1_78158702-78161485.+	None	None
1	+	78203108	78209571	1	78203108	78209571	L1PA7.1.chr1_78203108-78209571.+	L1PA7.1.chr1_78203108-78209571.+	None	None
1	+	78211143	78213704	1	78211143	78213704	L1PA13.1.chr1_78211143-78213704.+	L1PA13.1.chr1_78211143-78213704.+	None	None
1	+	78256976	78262640	1	78256976	78262640	L1PA10.1.chr1_78256976-78262640.+	L1PA10.1.chr1_78256976-78262640.+	None	None
1	+	78310059	78316157	1	78310059	78316157	L1PA6.1.chr1_78310059-78316157.+	L1PA6.1.chr1_78310059-78316157.+	None	None
1	-	78394080	78398691	1	78394080	78398691	L1PA7.1.chr1_78394080-78398691.-	L1PA7.1.chr1_78394080-78398691.-	None	None
1	+	78483572	78489062	1	78483572	78489062	L1PA8A.1.chr1_78483572-78489062.+	L1PA8A.1.chr1_78483572-78489062.+	None	None
1	+	78551851	78553693	1	78551851	78553693	L1PA15-16.1.chr1_78551851-78553693.+	L1PA15-16.1.chr1_78551851-78553693.+	None	None
1	+	78607699	78613730	1	78607699	78613730	L1PA6.1.chr1_78607699-78613730.+	L1PA6.1.chr1_78607699-78613730.+	None	None
1	-	78699384	78702913	1	78699384	78702913	L1PA12.1.chr1_78699384-78702913.-	L1PA12.1.chr1_78699384-78702913.-	None	None
1	+	78767037	78767986	1	78767037	78767986	L1PA12.1.chr1_78767037-78767986.+	L1PA12.1.chr1_78767037-78767986.+	None	None
1	-	78845456	78851474	1	78845456	78851474	L1PA2.1.chr1_78845456-78851474.-	L1PA2.1.chr1_78845456-78851474.-	None	None
1	+	79270463	79272603	1	79270463	79272603	L1PA12.1.chr1_79270463-79272603.+	L1PA12.1.chr1_79270463-79272603.+	None	None
1	+	79414188	79420301	1	79414188	79420301	L1PA5.1.chr1_79414188-79420301.+	L1PA5.1.chr1_79414188-79420301.+	None	None
1	-	79511261	79517280	1	79511261	79517280	L1PA3.1.chr1_79511261-79517280.-	L1PA3.1.chr1_79511261-79517280.-	None	None
1	+	79875004	79881652	1	79875004	79881652	L1PA15.1.chr1_79875004-79881652.+	L1PA15.1.chr1_79875004-79881652.+	None	None
1	-	79888611	79894731	1	79888611	79894731	L1PA3.1.chr1_79888611-79894731.-	L1PA3.1.chr1_79888611-79894731.-	None	None
1	-	79938402	79944419	1	79938402	79944419	L1PA2.1.chr1_79938402-79944419.-	L1PA2.1.chr1_79938402-79944419.-	None	None
1	-	80132548	80138577	1	80132548	80138577	L1PA3.1.chr1_80132548-80138577.-	L1PA3.1.chr1_80132548-80138577.-	None	None
1	+	80259757	80262699	1	80259757	80262699	L1PA16.1.chr1_80259757-80262699.+	L1PA16.1.chr1_80259757-80262699.+	None	None
1	-	80394348	80400494	1	80394348	80400494	L1PA3.1.chr1_80394348-80400494.-	L1PA3.1.chr1_80394348-80400494.-	None	None
1	-	80939203	80945257	1	80939203	80945257	L1HS.1.chr1_80939203-80945257.-	L1HS.1.chr1_80939203-80945257.-	None	None
1	-	81108845	81109834	1	81108845	81109834	L1PA16.1.chr1_81108845-81109834.-	L1PA16.1.chr1_81108845-81109834.-	None	None
1	-	82130929	82136890	1	82130929	82136890	L1PA3.1.chr1_82130929-82136890.-	L1PA3.1.chr1_82130929-82136890.-	None	None
1	-	82235211	82240608	1	82235211	82240608	L1PA10.1.chr1_82235211-82240608.-	L1PA10.1.chr1_82235211-82240608.-	None	None
1	+	82250044	82256069	1	82250044	82256069	L1PA2.1.chr1_82250044-82256069.+	L1PA2.1.chr1_82250044-82256069.+	None	None
1	+	83167420	83173581	1	83167420	83173581	L1PA4.1.chr1_83167420-83173581.+	L1PA4.1.chr1_83167420-83173581.+	None	None
